State/UT,Amount to be raised (Cr.),Amount Accepted (Cr.),Cut off Yield (%),Tenure (Year),Date,Url,Yield/Price
Andhra Pradesh,1000,1000.0,7.34,11,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Andhra Pradesh,1000,1000.0,7.31,20,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Haryana,1500,1500.0,7.33,12,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Jammu and Kashmir,500,500.0,7.28,30,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Kerala,1500,1500.0,7.32,17,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Mizoram,71,71.0,7.36,15,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1500,1500.0,7.34,10,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1000,1000.0,7.33,19,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Rajasthan,1500,1500.0,7.33,20,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Tamil Nadu,3000,3000.0,7.27,30,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Telangana,1000,1000.0,7.31,18,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
West Bengal,2000,2000.0,7.34,15,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
West Bengal,1500,1500.0,7.34,18,"Jun 25, 2024",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=58153,Yield based
Gujarat,2000,2000.0,7.23,03,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Haryana,1500,1500.0,7.36,10,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Jammu and Kashmir,500,500.0,7.33,27,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Punjab,1500,1500.0,7.39,09,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Rajasthan,2000,2000.0,7.38,09,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Telangana,1000,1000.0,7.35,12,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Telangana,1000,1000.0,7.35,14,"Jun 18, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58115,Yield based
Haryana,1000,1000.0,7.38,10,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Jammu and Kashmir,500,500.0,7.35,25,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Puducherry,150,150.0,7.40,6,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Puducherry,100,100.0,7.38,14,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Punjab,1500,1500.0,7.41,10,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Tamil Nadu,2000,2000.0,7.39,8,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Uttarakhand,500,500.0,7.39,6,"Jun 11, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58076,Yield based
Andhra Pradesh,1000,1000.0,7.43,18,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.43,20,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.43,22,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.38,25,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Haryana,1500,1500.0,7.43,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Himachal Pradesh,500,500.0,7.44,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Himachal Pradesh,700,700.0,7.46,12,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Jammu and Kashmir,800,800.0,7.43,22,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Kerala,2000,2000.0,7.38,31,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Meghalaya,200,200.0,7.45,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Nagaland,300,300.0,7.45,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Punjab,1500,1500.0,7.48,11,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Punjab,1000,1000.0,7.47,13,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Rajasthan,1000,1000.0,7.43,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Rajasthan,1000,1000.0,7.45,16,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Tamil Nadu,1000,1000.0,7.43,08,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Tamil Nadu,2000,2000.0,7.44,10,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Telangana,1000,1000.0,7.44,16,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Telangana,1000,1000.0,7.43,19,"Jun 04, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=58033,Yield based
Andhra Pradesh,1000,1000.0,7.34,24,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Andhra Pradesh,1000,1000.0,7.34,25,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Assam,1000,1000.0,7.37,10,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
Jammu and Kashmir,1000,1000.0,7.34,30,"May 28, 2024",https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=57988,Yield based
